Designator,Footprint,Quantity,Value,LCSC Part #
ARDUINO1,PinHeader_1x06_P2.54mm_Vertical,1,C492405,
"C1, C2",0805,2,100nf_C49678,
CAVALIER1,PinHeader_1x02_P2.54mm_Vertical,1,C492401,
D1,0603,1,LED_C2290,
D2,0603,1,LED_C2286,
ESP32,PinHeader_1x15_P2.54mm_Vertical,1,~,
J4,Pin_D1.1mm_L10.2mm_W3.5mm_Flat,1,Conn_01x01,
"R1, R2",0805,2,12kΩ_C17444,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,ATtiny85V-10S,
