Designator,Mid X,Mid Y,Rotation,Layer
C1,151.6362,-53.5432,0.0,bottom
C2,147.1658,-75.0316,0.0,bottom
D1,152.93,-80.8,0.0,top
D2,152.87,-86.6,0.0,top
J1,152.4,-67.4,0.0,top
J2,157.5,-68.5,180.0,bottom
J3,147.0,-83.53,0.0,top
J4,147.2,-78.6,0.0,top
R1,152.9125,-77.6,0.0,top
R2,152.9125,-83.6,0.0,top
U1,151.635,-53.5875,180.0,top
